match_id,match_start_date_time,game_version_id,game_version,radiant_player_1_hero_id,radiant_player_1_hero,radiant_player_2_hero_id,radiant_player_2_hero,radiant_player_3_hero_id,radiant_player_3_hero,radiant_player_4_hero_id,radiant_player_4_hero,radiant_player_5_hero_id,radiant_player_5_hero,dire_player_1_hero_id,dire_player_1_hero,dire_player_2_hero_id,dire_player_2_hero,dire_player_3_hero_id,dire_player_3_hero,dire_player_4_hero_id,dire_player_4_hero,dire_player_5_hero_id,dire_player_5_hero,radiant_win
11048,2011-08-17 00:00:00,11,6.72f,18,Sven,25,Lina,69,Doom,53,Nature's Prophet,17,Storm Spirit,33,Enigma,5,Crystal Maiden,1,Anti-Mage,16,Sand King,11,Shadow Fiend,true
11151,2011-08-17 00:00:00,11,6.72f,31,Lich,1,Anti-Mage,38,Beastmaster,21,Windranger,5,Crystal Maiden,66,Chen,40,Venomancer,30,Witch Doctor,53,Nature's Prophet,36,Necrophos,false
11323,2011-08-18 00:00:00,11,6.72f,18,Sven,31,Lich,45,Pugna,25,Lina,10,Morphling,38,Beastmaster,66,Chen,63,Weaver,51,Clockwerk,30,Witch Doctor,true
11347,2011-08-18 00:00:00,11,6.72f,20,Vengeful Spirit,63,Weaver,38,Beastmaster,33,Enigma,21,Windranger,7,Earthshaker,68,Ancient Apparition,51,Clockwerk,9,Mirana,28,Slardar,false
11508,2011-08-19 00:00:00,11,6.72f,31,Lich,9,Mirana,16,Sand King,38,Beastmaster,41,Faceless Void,18,Sven,7,Earthshaker,60,Night Stalker,68,Ancient Apparition,69,Doom,true
11630,2011-08-20 00:00:00,11,6.72f,36,Necrophos,21,Windranger,9,Mirana,66,Chen,68,Ancient Apparition,28,Slardar,33,Enigma,7,Earthshaker,63,Weaver,20,Vengeful Spirit,true
11670,2011-08-20 00:00:00,11,6.72f,31,Lich,63,Weaver,21,Windranger,26,Lion,34,Tinker,53,Nature's Prophet,1,Anti-Mage,13,Puck,16,Sand King,68,Ancient Apparition,true
18355350,2012-05-31 00:00:00,17,6.74c,33,Enigma,21,Windranger,83,Treant Protector,52,Leshrac,45,Pugna,78,Brewmaster,31,Lich,74,Invoker,79,Shadow Demon,63,Weaver,true
18381978,2012-05-31 00:00:00,17,6.74c,53,Nature's Prophet,43,Death Prophet,40,Venomancer,60,Night Stalker,33,Enigma,74,Invoker,31,Lich,61,Broodmother,16,Sand King,38,Beastmaster,true
18842103,2012-06-03 00:00:00,17,6.74c,17,Storm Spirit,7,Earthshaker,55,Dark Seer,1,Anti-Mage,20,Vengeful Spirit,60,Night Stalker,33,Enigma,79,Shadow Demon,10,Morphling,52,Leshrac,false
24892120,2012-07-08 00:00:00,17,6.74c,7,Earthshaker,27,Shadow Shaman,86,Rubick,81,Chaos Knight,45,Pugna,79,Shadow Demon,78,Brewmaster,52,Leshrac,43,Death Prophet,55,Dark Seer,true
25626184,2012-07-12 00:00:00,17,6.74c,53,Nature's Prophet,62,Bounty Hunter,86,Rubick,80,Lone Druid,33,Enigma,16,Sand King,21,Windranger,34,Tinker,65,Batrider,40,Venomancer,true
26230346,2012-07-15 00:00:00,17,6.74c,46,Templar Assassin,74,Invoker,5,Crystal Maiden,39,Queen of Pain,7,Earthshaker,13,Puck,1,Anti-Mage,52,Leshrac,31,Lich,79,Shadow Demon,false
26819809,2012-07-18 00:00:00,17,6.74c,58,Enchantress,79,Shadow Demon,16,Sand King,74,Invoker,39,Queen of Pain,60,Night Stalker,10,Morphling,21,Windranger,52,Leshrac,27,Shadow Shaman,false
26829838,2012-07-18 00:00:00,17,6.74c,53,Nature's Prophet,10,Morphling,74,Invoker,79,Shadow Demon,16,Sand King,40,Venomancer,29,Tidehunter,21,Windranger,46,Templar Assassin,60,Night Stalker,false
27632664,2012-07-22 00:00:00,17,6.74c,7,Earthshaker,79,Shadow Demon,89,Naga Siren,68,Ancient Apparition,23,Kunkka,12,Phantom Lancer,55,Dark Seer,66,Chen,52,Leshrac,86,Rubick,false
28049492,2012-07-24 00:00:00,17,6.74c,66,Chen,63,Weaver,81,Chaos Knight,74,Invoker,20,Vengeful Spirit,7,Earthshaker,61,Broodmother,52,Leshrac,79,Shadow Demon,55,Dark Seer,false
28711577,2012-07-27 00:00:00,17,6.74c,86,Rubick,46,Templar Assassin,40,Venomancer,62,Bounty Hunter,81,Chaos Knight,10,Morphling,54,Lifestealer,74,Invoker,79,Shadow Demon,66,Chen,true
29378911,2012-07-30 00:00:00,17,6.74c,86,Rubick,21,Windranger,16,Sand King,81,Chaos Knight,52,Leshrac,79,Shadow Demon,39,Queen of Pain,61,Broodmother,78,Brewmaster,27,Shadow Shaman,false
29815740,2012-08-01 00:00:00,17,6.74c,90,Keeper of the Light,85,Undying,45,Pugna,80,Lone Druid,40,Venomancer,66,Chen,52,Leshrac,16,Sand King,34,Tinker,39,Queen of Pain,false
31911041,2012-08-10 00:00:00,17,6.74c,81,Chaos Knight,86,Rubick,53,Nature's Prophet,40,Venomancer,1,Anti-Mage,38,Beastmaster,74,Invoker,10,Morphling,55,Dark Seer,20,Vengeful Spirit,false
34073515,2012-08-19 00:00:00,17,6.74c,10,Morphling,66,Chen,21,Windranger,29,Tidehunter,52,Leshrac,80,Lone Druid,40,Venomancer,58,Enchantress,86,Rubick,78,Brewmaster,false
34134559,2012-08-19 00:00:00,17,6.74c,17,Storm Spirit,52,Leshrac,61,Broodmother,74,Invoker,29,Tidehunter,34,Tinker,86,Rubick,80,Lone Druid,58,Enchantress,40,Venomancer,true
41495008,2012-09-17 00:00:00,17,6.74c,16,Sand King,1,Anti-Mage,80,Lone Druid,33,Enigma,5,Crystal Maiden,58,Enchantress,40,Venomancer,53,Nature's Prophet,39,Queen of Pain,89,Naga Siren,false
42239550,2012-09-20 00:00:00,17,6.74c,21,Windranger,10,Morphling,33,Enigma,29,Tidehunter,40,Venomancer,44,Phantom Assassin,66,Chen,74,Invoker,31,Lich,53,Nature's Prophet,true
42482594,2012-09-21 00:00:00,17,6.74c,66,Chen,52,Leshrac,86,Rubick,81,Chaos Knight,21,Windranger,33,Enigma,87,Disruptor,74,Invoker,89,Naga Siren,27,Shadow Shaman,true
43478325,2012-09-24 00:00:00,17,6.74c,39,Queen of Pain,10,Morphling,29,Tidehunter,86,Rubick,5,Crystal Maiden,1,Anti-Mage,33,Enigma,87,Disruptor,38,Beastmaster,74,Invoker,true
44228472,2012-09-27 00:00:00,17,6.74c,10,Morphling,27,Shadow Shaman,29,Tidehunter,55,Dark Seer,58,Enchantress,52,Leshrac,66,Chen,78,Brewmaster,80,Lone Druid,89,Naga Siren,true
45911210,2012-10-03 00:00:00,19,6.75b,58,Enchantress,52,Leshrac,46,Templar Assassin,29,Tidehunter,21,Windranger,10,Morphling,40,Venomancer,54,Lifestealer,62,Bounty Hunter,66,Chen,true
