league,league_id,league_tier,league_start_date_time,league_end_date_time,league_region,series_id,series_type,match_id,match_start_date_time,match_duration_seconds,first_blood_time_seconds,radiant_team_id,radiant_team_name,dire_team_id,dire_team_name,winner_id,radiant_kills,dire_kills,radiant_player_1_id,radiant_player_1_name,radiant_player_1_hero_id,radiant_player_1_hero,radiant_player_1_position,radiant_player_1_lane,radiant_player_1_role,radiant_player_1_kills,radiant_player_1_deaths,radiant_player_1_assists,radiant_player_1_networth,radiant_player_2_id,radiant_player_2_name,radiant_player_2_hero_id,radiant_player_2_hero,radiant_player_2_position,radiant_player_2_lane,radiant_player_2_role,radiant_player_2_kills,radiant_player_2_deaths,radiant_player_2_assists,radiant_player_2_networth,radiant_player_3_id,radiant_player_3_name,radiant_player_3_hero_id,radiant_player_3_hero,radiant_player_3_position,radiant_player_3_lane,radiant_player_3_role,radiant_player_3_kills,radiant_player_3_deaths,radiant_player_3_assists,radiant_player_3_networth,radiant_player_4_id,radiant_player_4_name,radiant_player_4_hero_id,radiant_player_4_hero,radiant_player_4_position,radiant_player_4_lane,radiant_player_4_role,radiant_player_4_kills,radiant_player_4_deaths,radiant_player_4_assists,radiant_player_4_networth,radiant_player_5_id,radiant_player_5_name,radiant_player_5_hero_id,radiant_player_5_hero,radiant_player_5_position,radiant_player_5_lane,radiant_player_5_role,radiant_player_5_kills,radiant_player_5_deaths,radiant_player_5_assists,radiant_player_5_networth,dire_player_1_id,dire_player_1_name,dire_player_1_hero_id,dire_player_1_hero,dire_player_1_position,dire_player_1_lane,dire_player_1_role,dire_player_1_kills,dire_player_1_deaths,dire_player_1_assists,dire_player_1_networth,dire_player_2_id,dire_player_2_name,dire_player_2_hero_id,dire_player_2_hero,dire_player_2_position,dire_player_2_lane,dire_player_2_role,dire_player_2_kills,dire_player_2_deaths,dire_player_2_assists,dire_player_2_networth,dire_player_3_id,dire_player_3_name,dire_player_3_hero_id,dire_player_3_hero,dire_player_3_position,dire_player_3_lane,dire_player_3_role,dire_player_3_kills,dire_player_3_deaths,dire_player_3_assists,dire_player_3_networth,dire_player_4_id,dire_player_4_name,dire_player_4_hero_id,dire_player_4_hero,dire_player_4_position,dire_player_4_lane,dire_player_4_role,dire_player_4_kills,dire_player_4_deaths,dire_player_4_assists,dire_player_4_networth,dire_player_5_id,dire_player_5_name,dire_player_5_hero_id,dire_player_5_hero,dire_player_5_position,dire_player_5_lane,dire_player_5_role,dire_player_5_kills,dire_player_5_deaths,dire_player_5_assists,dire_player_5_networth,game_version_id
Dota 2 Space League,17163,PROFESSIONAL,2024-10-12 21:00:00,2025-03-13 22:00:00,,915196,BEST_OF_THREE,7988517842,2024-10-15 01:28:24,2131,-19,8957156,Silent killer,8850100,TOXIC TEAM,8850100,31,35,1674673556,sK.busow,114,Monkey King,POSITION_1,SAFE_LANE,CORE,6,6,8,18308,120231412,sK.itras,61,Broodmother,POSITION_3,OFF_LANE,CORE,2,9,21,16202,126130434,sK.lotorimri,72,Gyrocopter,POSITION_4,OFF_LANE,LIGHT_SUPPORT,7,11,9,10201,36771694,sK.onenen,21,Windranger,POSITION_2,MID_LANE,CORE,12,5,6,19161,264869776,sK.yacathem,19,Tiny,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,4,12,15535,839218972,Tt. 1x1?,82,Meepo,POSITION_1,SAFE_LANE,CORE,5,9,16,19936,840859617,Tt.Doopled,101,Skywrath Mage,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,3,18,16440,236235951,Tt.satasatasata,84,Ogre Magi,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,10,20,14596,331772647,Tt.Rottery,11,Shadow Fiend,POSITION_2,MID_LANE,CORE,13,1,12,30187,177338286,Tt.Wired,108,Underlord,POSITION_3,OFF_LANE,CORE,8,8,12,19449,177
Royal Circuit #3,17064,PROFESSIONAL,2024-10-01 05:00:00,2024-10-31 05:00:00,,915178,BEST_OF_THREE,7988515816,2024-10-15 01:24:03,2536,403,9555297,Soul Angels,8986802,Maycam Evolve,9555297,33,23,303707396,Iruy ♡,51,Clockwerk,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,4,24,14491,124963972,Mile-Mile,54,Lifestealer,POSITION_1,SAFE_LANE,CORE,9,5,11,27153,257710284,Dae,96,Centaur Warrunner,POSITION_3,OFF_LANE,CORE,5,3,20,22721,431280976,Azumi,17,Storm Spirit,POSITION_2,MID_LANE,CORE,14,5,12,24704,196617903,Lovely,79,Shadow Demon,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,6,24,11594,131022635,Lulu.,88,Nyx Assassin,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,13,14,10873,139160605,3mpty,2,Axe,POSITION_3,OFF_LANE,CORE,9,6,9,17857,142797091,Lighto,120,Pangolier,POSITION_2,MID_LANE,CORE,7,4,12,18998,221431870,r.r🖤,48,Luna,POSITION_1,SAFE_LANE,CORE,4,3,11,21723,317993280,Mireska,20,Vengeful Spirit,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,7,13,7981,177
Dota 2 Space League,17163,PROFESSIONAL,2024-10-12 21:00:00,2025-03-13 22:00:00,,915196,BEST_OF_THREE,7988495156,2024-10-15 00:43:58,1898,137,8850100,TOXIC TEAM,8957156,Silent killer,8850100,32,19,331772647,Tt.Rottery,11,Shadow Fiend,POSITION_2,MID_LANE,CORE,8,2,8,23203,840859617,Tt.Doopled,51,Clockwerk,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,3,16,12769,839218972,Tt. 1x1?,44,Phantom Assassin,POSITION_1,SAFE_LANE,CORE,11,2,12,23305,236235951,Tt.satasatasata,84,Ogre Magi,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,7,12,8276,177338286,Tt.Wired,7,Earthshaker,POSITION_3,OFF_LANE,CORE,6,5,8,16617,36771694,sK.onenen,19,Tiny,POSITION_2,MID_LANE,CORE,6,4,3,17775,126130434,sK.lotorimri,26,Lion,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,10,8,8167,120231412,sK.itras,28,Slardar,POSITION_3,OFF_LANE,CORE,2,9,9,13207,1674673556,sK.busow,54,Lifestealer,POSITION_1,SAFE_LANE,CORE,7,5,5,18221,264869776,sK.yacathem,14,Pudge,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,4,10,10220,177
Royal Circuit #3,17064,PROFESSIONAL,2024-10-01 05:00:00,2024-10-31 05:00:00,,915178,BEST_OF_THREE,7988474098,2024-10-15 00:01:33,2181,65,8986802,Maycam Evolve,9555297,Soul Angels,9555297,10,32,131022635,Lulu.,110,Phoenix,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,8,9,9987,317993280,Mireska,121,Grimstroke,POSITION_5,SAFE_LANE,HARD_SUPPORT,0,7,7,6796,139160605,3mpty,2,Axe,POSITION_3,OFF_LANE,CORE,3,11,3,11551,221431870,r.r🖤,70,Ursa,POSITION_1,SAFE_LANE,CORE,3,3,0,17034,142797091,Lighto,120,Pangolier,POSITION_2,MID_LANE,CORE,3,4,4,14281,303707396,Iruy ♡,51,Clockwerk,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,2,17,10561,124963972,Mile-Mile,48,Luna,POSITION_1,SAFE_LANE,CORE,10,4,6,27700,257710284,Dae,33,Enigma,POSITION_3,OFF_LANE,CORE,2,1,16,17480,431280976,Azumi,17,Storm Spirit,POSITION_2,MID_LANE,CORE,15,1,8,23167,196617903,Lovely,83,Treant Protector,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,2,29,9250,177
Dota 2 Space League,17163,PROFESSIONAL,2024-10-12 21:00:00,2025-03-13 22:00:00,,915166,BEST_OF_THREE,7988466451,2024-10-14 23:44:45,2377,161,8970060,Moonwalkers,8849837,FALL VICTIMS,8970060,36,36,200669009,MW.SoLaR,35,Sniper,POSITION_2,MID_LANE,CORE,10,1,12,28299,214494274,MW.sogi,40,Venomancer,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,8,12,15191,253075824,MW.zruze,105,Techies,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,12,14,12903,95501968,MW.BlackSin,81,Chaos Knight,POSITION_3,OFF_LANE,CORE,11,10,14,20721,894758362,MW.GeoManser,102,Abaddon,POSITION_1,SAFE_LANE,CORE,9,5,9,24006,422351924,FV.NoRemorse,22,Zeus,POSITION_2,MID_LANE,CORE,9,3,14,25067,122574061,FV.Trilemma,54,Lifestealer,POSITION_1,SAFE_LANE,CORE,8,7,13,24018,332180099,FV.BenzDance~,104,Legion Commander,POSITION_3,OFF_LANE,CORE,8,10,13,17604,358303866,FV.Norbert,86,Rubick,POSITION_5,SAFE_LANE,HARD_SUPPORT,5,11,15,10449,342667282,FV.1Yato1,138,Muerta,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,5,13,15004,177
Dota 2 Space League,17163,PROFESSIONAL,2024-10-12 21:00:00,2025-03-13 22:00:00,,915166,BEST_OF_THREE,7988443686,2024-10-14 23:02:19,1681,199,8849837,FALL VICTIMS,8970060,Moonwalkers,8970060,18,27,332180099,FV.BenzDance~,104,Legion Commander,POSITION_3,OFF_LANE,CORE,6,7,3,11290,422351924,FV.NoRemorse,22,Zeus,POSITION_2,MID_LANE,CORE,6,3,7,14579,122574061,FV.Trilemma,9,Mirana,POSITION_1,SAFE_LANE,CORE,3,7,7,10716,342667282,FV.1Yato1,138,Muerta,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,3,6,7985,358303866,FV.Norbert,51,Clockwerk,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,7,6,5267,95501968,MW.BlackSin,80,Lone Druid,POSITION_3,OFF_LANE,CORE,3,4,8,15608,253075824,MW.zruze,75,Silencer,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,6,5,6758,214494274,MW.sogi,37,Warlock,POSITION_5,SAFE_LANE,HARD_SUPPORT,0,4,15,10308,200669009,MW.SoLaR,39,Queen of Pain,POSITION_2,MID_LANE,CORE,15,2,2,21136,894758362,MW.GeoManser,42,Wraith King,POSITION_1,SAFE_LANE,CORE,5,2,15,17271,177
Dota 2 Space League,17163,PROFESSIONAL,2024-10-12 21:00:00,2025-03-13 22:00:00,,915160,BEST_OF_THREE,7988417475,2024-10-14 22:14:12,1613,93,8849833,VERTEX PACK,8987220,HolyTeam,8849833,29,29,845344315,vP.RatnBone,77,Lycan,POSITION_3,OFF_LANE,CORE,1,9,17,11996,311095642,vP.zikboss,86,Rubick,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,8,9,7656,341654420,vP.Helannt,54,Lifestealer,POSITION_1,SAFE_LANE,CORE,12,3,6,20000,358783974,vP.Shelby,11,Shadow Fiend,POSITION_2,MID_LANE,CORE,7,5,5,18382,402870848,vP.Pronto,5,Crystal Maiden,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,4,8,10056,192237622,HT.Nagama,59,Huskar,POSITION_3,OFF_LANE,CORE,2,10,2,10184,285960234,HT.RAGNAR,123,Hoodwink,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,1,6,9635,331479965,HT.NoticeMeSenpai,22,Zeus,POSITION_5,SAFE_LANE,HARD_SUPPORT,7,8,11,9068,325668566,HT.kirito,114,Monkey King,POSITION_2,MID_LANE,CORE,5,5,10,13958,160717966,HT.Consul,102,Abaddon,POSITION_1,SAFE_LANE,CORE,12,5,9,17315,177
Dota 2 Space League,17163,PROFESSIONAL,2024-10-12 21:00:00,2025-03-13 22:00:00,,915160,BEST_OF_THREE,7988386278,2024-10-14 21:30:43,1919,200,8987220,HolyTeam,8849833,VERTEX PACK,8849833,27,20,285960234,HT.RAGNAR,26,Lion,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,1,10,13447,325668566,HT.kirito,114,Monkey King,POSITION_2,MID_LANE,CORE,9,3,6,17209,160717966,HT.Consul,102,Abaddon,POSITION_1,SAFE_LANE,CORE,10,7,10,20544,331479965,HT.NoticeMeSenpai,123,Hoodwink,POSITION_5,SAFE_LANE,HARD_SUPPORT,5,3,14,12029,192237622,HT.Nagama,129,Mars,POSITION_3,OFF_LANE,CORE,0,6,8,12908,311095642,vP.zikboss,91,Io,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,11,10,8349,358783974,vP.Shelby,19,Tiny,POSITION_2,MID_LANE,CORE,5,4,2,21940,845344315,vP.RatnBone,77,Lycan,POSITION_3,OFF_LANE,CORE,4,6,8,15712,402870848,vP.Pronto,5,Crystal Maiden,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,2,6,12152,341654420,vP.Helannt,48,Luna,POSITION_1,SAFE_LANE,CORE,5,4,3,21069,177
Dota 2 Space League,17163,PROFESSIONAL,2024-10-12 21:00:00,2025-03-13 22:00:00,,915132,BEST_OF_THREE,7988338656,2024-10-14 20:36:26,1949,123,8849817,ZEUS THUNDER GOD,8850016,FLYING FORTUNE,8850016,18,28,378150328,ZTG.NaldBail,123,Hoodwink,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,3,2,9020,125106763,ZTG.apathetic,22,Zeus,POSITION_5,SAFE_LANE,HARD_SUPPORT,5,7,7,8605,188408746,ZTG.OETTI,104,Legion Commander,POSITION_3,OFF_LANE,CORE,4,7,1,13982,352414980,ZTG.Trust,7,Earthshaker,POSITION_2,MID_LANE,CORE,3,4,3,17442,923778347,ZTG. litboN,44,Phantom Assassin,POSITION_1,SAFE_LANE,CORE,4,7,7,16998,296080998,Ff.Duh,9,Mirana,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,8,14,9021,234382300,Ff.ZagZag,15,Razor,POSITION_2,MID_LANE,CORE,4,1,13,22756,64188013,Ff.KoSide,86,Rubick,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,5,5,10886,419736556,Ff.WaitFreestyle,38,Beastmaster,POSITION_3,OFF_LANE,CORE,12,3,9,23540,437135906,Ff.DaemonT,1,Anti-Mage,POSITION_1,SAFE_LANE,CORE,8,1,3,24296,177
European Pro League  2023-2024 Season,15898,PROFESSIONAL,2023-10-30 22:00:00,2024-10-30 22:00:00,EUROPE,915141,BEST_OF_THREE,7988333817,2024-10-14 20:29:53,2233,0,9017006,NAVI Junior,8588969,HYDRA,9017006,29,23,957204049,gotthejuice,48,Luna,POSITION_1,SAFE_LANE,CORE,7,2,15,34502,835864135,pma,38,Beastmaster,POSITION_3,OFF_LANE,CORE,4,6,15,22295,185590374,Niku,98,Timbersaw,POSITION_2,MID_LANE,CORE,8,4,15,21551,130991304,Riddys,79,Shadow Demon,POSITION_5,SAFE_LANE,HARD_SUPPORT,10,5,15,13225,919735867,daze,90,Keeper of the Light,POSITION_4,OFF_LANE,LIGHT_SUPPORT,0,7,16,11372,1041276674,selfhate,10,Morphling,POSITION_1,SAFE_LANE,CORE,7,4,7,22432,1153798101,Ethereal,39,Queen of Pain,POSITION_2,MID_LANE,CORE,9,3,8,21553,119857205,fsd,58,Enchantress,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,8,11,11412,435139370,^_^,128,Snapfire,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,6,14,9343,860414909,proletariy,108,Underlord,POSITION_3,OFF_LANE,CORE,1,8,7,15178,177
